,alpha,alpha_compound,alpha_weighted,alpha_weighted_compound,lognorm,lognorm_compound
nin_cifar10,2.3654314200896596,2.5120067438885063,1.0624740631604845,2.231944932072764,0.7325564026832581,1.0101858872080605
nin_cifar100,2.6511125884585587,3.8254514066328893,2.041729961590579,4.784017159415564,0.8694208264350891,1.185877257188161
resnet20_cifar10,3.3296004242622215,3.329600424262221,0.24786450196451892,0.24786450196451892,0.5303232073783875,0.530323209365209
resnet20_cifar100,4.50583116328639,4.773316782922421,1.6393748845748761,2.657912426054008,0.7262477278709412,0.8273322107615294
resnet56_cifar10,3.053124037743401,3.0531240377434004,-0.924206975446747,-0.924206975446747,0.3452068567276001,0.3452068623764063
resnet56_cifar100,4.526699207602775,4.521637790139531,0.01765068682213596,0.30860430972136277,0.5652058720588684,0.6034856127736009
resnet110_cifar10,2.9583643173008083,2.9583643173008087,-1.512440479913621,-1.5124404799136208,0.24283866584300995,0.24283867735001777
resnet110_cifar100,4.077745777170612,4.068266205264987,-0.8109512277073443,-0.6704223783199951,0.4657430946826935,0.4865488032867879
resnet164bn_cifar10,3.2025948579068766,3.7628077531221527,-0.9901758568521961,-0.1302572408391327,0.34746384620666504,0.5360101025906346
resnet164bn_cifar100,4.117293025223023,5.046108518962613,-0.1311919014340799,1.5282029419162613,0.5220655798912048,0.7382707609767801
resnet1001_cifar10,2.706962402305633,3.087328772020275,-2.2605166334136904,-1.678692516213401,0.06815558671951294,0.2614710038495
resnet1202_cifar10,3.1349182315847686,3.134918231584769,-4.697137159205716,-4.697137159205716,-0.23554940521717072,-0.2355493987561771
preresnet20_cifar10,3.25238040511718,3.2523804051171807,0.25138404877402576,0.2513840487740258,0.533134400844574,0.533134420050515
preresnet20_cifar100,4.321337913311664,4.591849214967678,1.5274467410530468,2.5649548825121453,0.7209742069244385,0.825341714753045
preresnet56_cifar10,3.289321779669555,3.2893217796695544,-1.022864823675273,-1.022864823675273,0.3447701334953308,0.3447701302813549
preresnet56_cifar100,3.9920551790336933,3.996616883982547,0.032293519923745566,0.30814025364132,0.5593933463096619,0.5993805356599666
preresnet110_cifar10,2.7527463760072863,2.752746376007286,-1.4704742175396355,-1.4704742175396355,0.19896243512630463,0.19896244447500935
preresnet110_cifar100,4.108361131804869,4.101229831743705,-0.9435413269115757,-0.7922878859940751,0.4510190486907959,0.47295129805067443
preresnet164bn_cifar10,3.4271251239843705,4.2149896075546165,-1.0684672867878875,-0.10429742004177213,0.33816203474998474,0.5333416494984358
preresnet164bn_cifar100,4.187441456388109,4.748652455323802,-0.3071632346144803,1.3666393450823309,0.5243458151817322,0.7473904374863437
preresnet1001_cifar10,2.370631885899101,2.6645176143960305,-2.0684366559891645,-1.4587109570698893,-0.005202604457736015,0.2013446245750017
resnext29_32x4d_cifar10,3.558005220395821,3.558005220395821,1.655815748940928,1.655815748940928,0.8697866797447205,0.8697866556190309
resnext29_32x4d_cifar100,4.443609417169127,4.443609417169127,3.4556039692848857,3.4556039692848857,1.0528481006622314,1.0528482632203535
resnext29_16x64d_cifar10,4.081757481881417,2.9571386050253734,-0.9470554814407149,0.19204042887506792,0.5895332098007202,0.7758693209400884
pyramidnet110_a48_cifar10,3.2140287677800408,3.2140287677800403,-2.0865070303976143,-2.0865070303976143,0.15925580263137817,0.15925580190074465
pyramidnet110_a48_cifar100,3.772157172199469,3.774424329231554,-1.1597751531925722,-0.9952555880205814,0.37074485421180725,0.3960209474746698
pyramidnet110_a84_cifar10,3.214041548715391,3.2140415487153904,-2.3071934750733196,-2.3071934750733196,0.1724139302968979,0.17241394164052623
pyramidnet110_a84_cifar100,3.995834452342598,3.988964267016019,-1.5294918909760704,-1.445580368556295,0.37755781412124634,0.39083795976959895
pyramidnet110_a270_cifar10,3.095144815675935,3.095144815675935,-2.304898440584269,-2.304898440584269,0.21804572641849518,0.21804571711180504
densenet40_k12_cifar10,4.52067133766823,4.52067133766823,3.4197612844261607,3.4197612844261607,1.0332434177398682,1.0332434177398682
densenet40_k12_cifar100,5.367751264750281,5.367751264750281,6.40057124761071,6.40057124761071,1.2862114906311035,1.2862115303675334
densenet40_k12_bc_cifar10,4.671934589053691,4.671934589053691,2.6873414300216782,2.6873414300216782,0.9635977149009705,0.9635977149009705
densenet40_k12_bc_cifar100,4.897247178439445,4.897247178439445,5.553976970510712,5.553976970510712,1.2968289852142334,1.2968289256095886
densenet40_k24_bc_cifar10,6.037765760761846,6.037765760761846,1.97467791044056,1.97467791044056,0.7998135685920715,0.7998135309470328
densenet40_k24_bc_cifar100,5.697460775078875,5.697460775078875,3.843248061923467,3.843248061923467,0.9809659123420715,0.9809658974409103
densenet40_k36_bc_cifar10,5.374327265049168,5.374327265049168,1.972155293804874,1.972155293804874,0.8263626098632812,0.8263625562191009
densenet40_k36_bc_cifar100,4.658399023202061,4.658399023202061,3.3090093756402092,3.3090093756402092,1.0050846338272095,1.0050847274916512
densenet100_k12_cifar10,4.245774856273081,4.245774856273081,3.272421545675738,3.272421545675738,1.1146461963653564,1.1146461367607117
densenet100_k12_cifar100,5.188400748870296,5.188400748870296,5.953503891241122,5.953503891241122,1.3349961042404175,1.3349961042404175
densenet100_k12_bc_cifar10,5.05814340786574,5.05814340786574,3.0575232954174365,3.0575232954174365,1.0213896036148071,1.0213896334171295
densenet100_k12_bc_cifar100,5.2387062649054315,5.2387062649054315,5.268079223935061,5.268079223935061,1.2718892097473145,1.2718891700108845
xdensenet40_2_k24_bc_cifar10,4.036590030373671,4.036590030373671,0.9429800730480835,0.9429800730480835,0.777622401714325,0.7776223326984205
xdensenet40_2_k24_bc_cifar100,5.4411224953431265,5.4411224953431265,2.858757727150167,2.858757727150167,0.9433749914169312,0.9433750838041306
xdensenet40_2_k36_bc_cifar10,4.916022578733474,4.916022578733474,0.9524292709807185,0.9524292709807185,0.79583340883255,0.7958333730697632
xdensenet40_2_k36_bc_cifar100,6.226243045759612,6.226243045759612,3.147280771212998,3.147280771212998,0.977475643157959,0.9774756658644903
wrn16_10_cifar10,2.7765427251963346,3.1555292879232844,0.09775187552188742,0.0005542744937996933,0.6388145089149475,0.6487937523768499
wrn16_10_cifar100,3.3627939785881638,3.3061707918641936,1.0711014044151266,1.3098813352355303,0.8006196022033691,0.8495254634864746
wrn28_10_cifar10,2.730441122910368,2.8197577760991526,-0.5939727823558008,-0.5547848742902004,0.4953998327255249,0.5152923287947972
wrn40_8_cifar10,2.571325343953417,2.5929906523444797,-0.9540311767622531,-0.9058014606062041,0.38904139399528503,0.4075231381633261
ror3_56_cifar10,3.5677927954105892,3.5677927954105892,-1.0290907129749398,-1.0290907129749398,0.3766646683216095,0.3766646845473184
ror3_56_cifar100,4.068129870048972,4.107940075752952,0.11921958871297414,0.465832297319063,0.5736957788467407,0.6168558374047279
ror3_110_cifar10,3.3463722387142614,3.3463722387142614,-1.7952508065999535,-1.7952508065999537,0.2694159150123596,0.26941593422833515
ror3_110_cifar100,3.9170000928757336,3.9184667781629305,-0.7292418590068499,-0.5758467003440284,0.46973517537117004,0.4918095573685527
shakeshakeresnet20_2x16d_cifar10,2.802409837662211,2.8024098376622115,-0.8170317609676602,-0.8170317609676602,0.30665841698646545,0.30665843676154814
shakeshakeresnet26_2x32d_cifar10,3.2219752391342373,3.483374516512913,-1.5280861289144587,-1.5535369403533736,0.29938212037086487,0.30967260127524954
shakeshakeresnet26_2x32d_cifar100,3.93209974524049,3.9985509399578976,-0.8181226181153638,-0.6337615182213172,0.4756438434123993,0.5053173753147575
